latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
17.89472,-92.49099,341.36,4.89,n,N,2025-10-19,2025,10,7,0,Bajo
23.59655,-100.47172,356.82,56.85,n,D,2024-05-02,2024,5,19,2,Medio
20.27054,-88.02509,347.14,5.22,n,D,2023-05-12,2023,5,18,1,Alto
21.52908,-103.38731,344.88,6.99,l,D,2023-05-31,2023,5,19,2,Medio
27.40207,-107.90482,334.64,14.61,n,D,2024-05-12,2024,5,19,2,Medio
29.79955,-107.18985,350.97,11.57,l,D,2023-06-03,2023,6,20,2,Medio
16.76358,-98.87456,355.89,5.57,n,D,2024-05-27,2024,5,19,1,Alto
15.99943,-93.09274,300.68,1.43,n,N,2024-06-06,2024,6,8,0,Bajo
20.11135,-89.39987,343.17,5.49,n,D,2024-04-17,2024,4,18,1,Alto
20.69852,-104.87043,350.29,34.6,l,D,2024-05-04,2024,5,20,2,Medio
19.26485,-89.42346,339.23,4.26,l,D,2024-05-23,2024,5,19,2,Medio
22.30039,-105.18958,337.16,3.89,n,D,2023-06-17,2023,6,20,2,Medio
18.83083,-90.99413,344.19,69.87,n,D,2025-05-30,2025,5,19,1,Alto
17.81079,-95.37643,331.96,3.32,n,D,2023-08-09,2023,8,19,1,Alto
28.25293,-108.67521,302.22,1.97,n,N,2025-05-10,2025,5,8,0,Bajo
29.55227,-108.57026,303.32,1.88,n,N,2023-06-21,2023,6,9,0,Bajo
18.92343,-88.578,340.18,6.64,n,D,2024-11-30,2024,11,19,1,Alto
19.74525,-98.60396,309.71,1.71,n,N,2023-07-19,2023,7,7,0,Bajo
17.82683,-101.23774,343.13,11.91,n,D,2023-04-28,2023,4,19,1,Alto
21.78208,-104.51144,338.61,12.47,n,D,2024-04-12,2024,4,20,2,Medio
16.43151,-98.33022,351.77,46.63,n,D,2025-05-09,2025,5,19,1,Alto
30.72875,-109.57232,296.77,0.31,n,N,2025-12-09,2025,12,9,0,Bajo
30.30078,-108.68358,349.49,4.25,n,D,2025-04-13,2025,4,21,2,Medio
17.96986,-94.51879,343.11,7.0,n,D,2025-02-28,2025,2,19,1,Alto
16.80199,-99.66644,334.15,3.87,l,D,2023-02-18,2023,2,19,2,Medio
30.49533,-109.62868,324.77,2.83,n,N,2025-08-21,2025,8,9,0,Bajo
18.58244,-90.4859,367.0,51.54,l,D,2025-04-25,2025,4,18,2,Medio
19.15504,-101.9614,325.72,5.23,n,D,2023-11-13,2023,11,19,1,Alto
30.64892,-110.68932,367.0,9.79,h,D,2023-06-15,2023,6,19,1,Alto
